,title,pubDate,originallink,description,papago
0,우크라이나·<b>러시아</b> 2차 회담 시작…양국 입장 차 상당,"Fri, 04 Mar 2022 01:27:00 +0900",http://www.segye.com/content/html/2022/03/04/20220304500617.html?OutUrl=naver,우크라이나와 <b>러시아</b>의 2차 평화 회담이 시작됐다고 AP통신 등이 3일(현지시간) 보도했다. 우크라이나 대통령실은 트위터에 “우크라이나 전쟁에 관해 <b>러시아</b>와의 2차 회담이 시작됐다”며 “우크라이나 대표단의 의제는... ,"Ukraine, <b>Russia</b> Second round of talks begins…The difference between the two countries is significant."
1,꼬리 문 보복…<b>러시아</b> 이번엔 미·영 위성 발사 봉쇄,"Fri, 04 Mar 2022 01:26:00 +0900",https://www.nocutnews.co.kr/news/5717376,핵심요약영국 위성인터넷 '원웹' 발사 제동 미국엔 로켓 엔진 공급 중단 선언 우크라이나 침공에 대한 서방의 <b>러시아</b> 제재에 대한 보복으로 <b>러시아</b>가 서방 기업들의 우주 로켓 발사에 제동을 걸고 나섰다. CNN은 3일... ,Retaliation of the tail door...<b>Russia</b> Blocks the launch of U.S.-British satellites this time.
2,[우크라 침공] 서방이 정조준한 '올리가르히'란…푸틴과 결탁한 신흥부호,"Fri, 04 Mar 2022 01:25:00 +0900",http://yna.kr/AKR20220304004200071?did=1195m,조 바이든 미국 대통령은 지난 1일(현지시간) 국정연설에서 우크라이나 침공을 지시한 블라디미르 푸틴 <b>러시아</b> 대통령의 후원 세력이란 평가를 받는 <b>러시아</b> 재벌의 부정행위에 대한 강력한 수사 의지를 밝혔다. 바이든... ,"[Invading Ukraine] ""Oligarch"" that the West aims at...An emerging sign that colluded with Putin."
3,<b>러시아</b>에 남은 프랑스 국가대표 “시즌보다 안전이 우선”,"Fri, 04 Mar 2022 01:22:00 +0900",http://thespike.co.kr/news/newsview.php?ncode=1065542631894221&_ref=naver,<b>러시아</b>의 우크라이나 침공에 세계 곳곳에 있는 배구선수들도 공포심을 드러내고 있다. 요지부동이었던 국제배구연맹(FIVB)과 유럽배구연맹(CEV)은 마침내 지난 1일 <b>러시아</b>와 벨라루스를 대상으로 ‘모든 국제 대회 퇴출’... ,"<b>""Safety comes before the season"" of the French national team remaining in Russia </b>."
4,"[우크라 침공] 폭스바겐, 러 제조공정 중단·차수출도 안해","Fri, 04 Mar 2022 01:21:00 +0900",http://yna.kr/AKR20220304003700082?did=1195m,폭스바겐이 <b>러시아</b>에서 자동차 제조공정을 중단하고 자동차 수출도 하지 않기로 했다. 폭스바겐은 3일(현지시간) 카루가와 니쉬니 노브고로드에서의 제조공정을 잠정 중단한다고 밝혔다. 아울러 <b>러시아</b>로 자동차 수출을... ,[Ukra invasion] Volkswagen and Rue stop the manufacturing process and don't export cars.
5,&quot;딸아! 아빠 살아있어&quot; 춤추는 우크라 군인...눈물 터진 러 병사,"Fri, 04 Mar 2022 01:20:00 +0900",https://www.ytn.co.kr/_ln/0104_202203040120306001,"그런가 하면, 무기를 버린 앳된 얼굴의 <b>러시아</b> 병사는 우크라이나 주민들의 배려에 오열했습니다. 김현우... <b>러시아</b>의 침공에 대비해 전장에 있는 아빠는 딸의 걱정을 염려해 유쾌한 영상들을 올려왔습니다. '아빠는... ",&quot;Daughter! Dad is alive. Dancing Ukra soldier...soldier CHENLE burst into tears.
6,[우크라 침공] 쿼드 온라인 정상회의…&quot;힘에 의한 현상 변경 용납 안 돼&quot;,"Fri, 04 Mar 2022 01:19:00 +0900",http://yna.kr/AKR20220304004100073?did=1195m,열고 <b>러시아</b>의 우크라이나 침공 사태와 인도·태평양 정세 등을 논의했다. 교도통신에 따르면 기시다 후미오... <b>러시아</b>의 우크라이나 침공과 같은 사태가 인도·태평양 지역에서 벌어져서는 안 된다는 인식에 쿼드 정상들이... ,"[Invading Ukraine] Quad online summit...""We can't allow the change of phenomena by force."""
7,우크라-<b>러시아</b> 2차 회담 개시…러 &quot;대화 준비됐지만 군사작전 계속&quot;,"Fri, 04 Mar 2022 01:19:00 +0900",https://view.asiae.co.kr/article/2022030401191388302,우크라이나 주요 인프라와 민간인까지 겨냥한 <b>러시아</b>의 침공이 이어지는 가운데 양측 대표단의 2차 회담이 3일(현지시간) 시작됐다. 세르게이 라브로프 <b>러시아</b> 외무부 장관은 정전을 위한 협상과 관계없이 우크라이나... ,"Ukra-<b>Russia</b> The second round of talks begins…We're ready to talk, but we'll continue our military operations."
8,미 국채가 혼조…'전쟁+연준 긴축' 파급 효과 저울질,"Fri, 04 Mar 2022 01:18:00 +0900",http://news.einfomax.co.kr/news/articleView.html?idxno=4201810,<b>러시아</b>와 우크라이나 전쟁에도 미 연방준비제도(Fed·연준)의 긴축 경로가 유지될 것으로 예상되면서 미국... <b>러시아</b>와 우크라이나 전쟁에 따른 안전자산선호로 급락했던 미국 국채수익률이 가파르게 튀어올랐지만... ,"U.S. government bonds are mixed...""War + YEONJUN austerity."" Scaling the ripple effect."
9,러 &quot;우크라 외국인 의용군 잡히면 범죄자로 형사 처벌&quot;,"Fri, 04 Mar 2022 01:17:00 +0900",http://www.newsis.com/view/?id=NISX20220304_0001780883&cID=10101&pID=10100,기사내용 요약&quot;전투원 간주되거나 전쟁포로 지위 누릴 수 없어&quot; 이지예 특파원 = <b>러시아</b>가 우크라이나에 들어온 외국인 의용군이 붙잡힐 경우 형사 처벌하겠다고 경고했다. 타스통신에 따르면 이고르 코나셴코프 <b>러시아</b>... ,"""If a foreign volunteer is caught in Ukraine, criminal punishment as a criminal."""
